1 1,1 0,34
2 1,3 0,40
3 1,6 0,49
4 2,0 0,61
5 2,3 0,70
6 2,6 0,83
7 2,8 0,88
8 3,4 1,00
9 3,7 1,15
10 4,0 1,3
11 0 1,5
12 0 1,7
13 0 2,1
14 0 2,4
