1 0,52 0,21
2 0,73 0,25
3 0,99 0,30
4 1,4 0,4
5 1,7 0,45
6 2,3 0,55
7 2,8 0,58
8 3,7 0,67
9 4,45 0,74
10 5,2 0,85
11 0 1,0
12 0 1,2
13 0 1,4
14 0 1,6
