1 0,21 0,14
2 0,28 0,18
3 0,39 0,25
4 0,52 0,34
5 0,64 0,40
6 0,83 0,52
7 0,97 0,61
8 1,2 0,8
9 1,45 0,95
10 1,7 1,1
11 0 1,4
12 0 1,7
13 0 2,3
14 0 2,7
