1 1/2 15,8
2 3/4 21,0
3 1 26,1
4 1.1/4 35,1
5 1.1/2 40,9
6 2 52,5
7 2.1/2 62,7
8 3 77,9
9 3.1/2 90,1
10 4 102,3
11 5 128,2
12 6 154,1
13 8 202,7
14 10 254,5
